F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
-11.82,-24.72,71,12.82,-8.85,6.24,9.64,-34.98,-410.72,2,-2.19,79.66,0.88,1.81,5.52,False
-10.29,-28.89,23,14.26,-7.7,3,10.03,-34.98,-420.72,2,-3.84,67.66,0.43,1.94,5.8,True
-15.15,-28.23,2,17.02,-11.25,2.58,10.33,-30.98,-448.72,2,0.27,109.66,0.48,2.86,6.65,True
-12.99,-30.51,12,11,-8.49,4.8,10.04,-30.98,-494.72,2,-3,69.66,0.33,1.62,,False
-6.51,-15.75,380,11.44,-6.16,42.75,15.67,-36.98,-828.72,20,9.3,109.66,6.75,-2.21,4.9,False
0.39,-19.56,105,12.26,-4.47,16.2,15.02,-36.98,-788.72,20,7.68,189.66,6.5,0.31,,False
-12.96,-24.39,51,12.04,-8.42,5.61,10.38,-30.98,-484.72,2,-7.14,137.66,0.42,4.69,,True
0.69,-19.23,130,13.12,-3.88,15.3,14.17,-56.98,-438.72,20,9.18,149.66,6.1,-2.21,5.04,False
-8.94,-33.84,9,14.96,-10.35,3.09,10.02,-26.98,-414.72,2,-1.83,113.66,0.42,2.18,4.58,False
-1.44,-16.23,275,14.32,-4.47,22.65,15.32,-56.98,-738.72,20,8.61,99.66,5.1,-1.12,4.56,False
-8.01,-24.78,68,14.2,-7.28,5.64,10.05,-30.98,-472.72,2,0.21,85.66,0.69,1.32,5.92,False
6.54,-10.56,130,10.8,-3.73,21.75,17.32,-56.98,-808.72,20,12.03,109.66,7.4,-2.68,6.71,True
-8.1,-28.59,72,15.94,-8.63,4.08,10.29,-30.98,-442.72,2,1.23,123.66,0.9,3.66,,True
-12.18,-26.73,13,15.64,-8.78,4.32,9.63,-30.98,-464.72,2,-4.59,131.66,0.76,2.03,,False
-13.11,-30.12,17,14.44,-8.06,3.48,10.3,-30.98,-478.72,2,-3.51,91.66,0.16,1.81,,False
8.1,-8.94,365,12.3,-5.08,19.2,18.37,-76.98,-738.72,20,15.18,-80.34,8.05,-3.86,,True
6.63,-11.67,270,15.62,-4.46,17.85,14.62,-36.98,-468.72,20,15.36,219.66,10.3,-3.6,4.96,False
1.89,-23.19,145,16.58,-2.46,18.6,15.97,-36.98,-548.72,20,13.98,289.66,8.9,-1.94,5.32,False
5.16,-16.74,215,12.92,-3.48,15,15.67,-56.98,-868.72,20,12.51,119.66,9.1,-0.31,,False
-15.51,-27.96,12,14.46,-8.47,4.32,9.58,-30.98,-498.72,2,-5.01,85.66,0.47,7.09,,False
-7.8,-24.39,10,13.64,-7.66,3.3,10.32,-30.98,-450.72,2,0.36,109.66,0.46,1.67,6.64,True
-0.12,-12.6,120,12.4,-5.83,32.4,16.17,-56.98,-798.72,20,9.93,129.66,6.1,-2.02,5.49,False
-8.49,-27.09,55,13.7,-7.46,4.41,10.3,-30.98,-422.72,2,1.11,79.66,0.54,3.18,,True
-10.59,-25.23,3,14.92,-8.39,3.27,10.05,-30.98,-456.72,2,-0.12,117.66,0.51,2.61,,False
-9.24,-31.44,65,12.72,-9.18,4.11,10.19,-30.98,-478.72,2,-2.46,123.66,0.67,1.43,,True
-8.91,-25.11,5,11.34,-7.43,0.24,10.06,-34.98,-494.72,2,-0.33,83.66,0.43,3.09,5.24,False
-9.21,-24.21,7,12.6,-8.78,2.43,9.91,-26.98,-422.72,2,-0.63,103.66,0.93,2.6,7.42,True
-8.88,-31.38,1,11.74,-9.53,5.04,10.11,-30.98,-494.72,2,-3.12,97.66,0.26,4.6,6.22,False
3.9,-10.08,275,12.68,-4.28,28.35,17.62,-56.98,-698.72,20,16.56,169.66,9.2,-2.25,6.64,True
-12.87,-24.24,0,12.64,-7.33,2.49,10.26,-24.98,-472.72,2,-0.66,129.66,0.72,1.07,,True
0.21,-14.91,40,8.9,-3.86,38.4,15.87,-36.98,-718.72,20,11.49,219.66,5.7,-1.43,,False
-13.47,-29.07,41,14.34,-8.13,5.04,9.48,-34.98,-486.72,2,-14.34,79.66,0.94,2.77,,False
4.44,-9.66,385,13.72,-3.38,44.7,16.77,-36.98,-818.72,20,14.97,99.66,8.5,0.18,5.22,False
-10.83,-28.02,45,13.1,-7.84,2.19,10.38,-30.98,-488.72,2,-9.06,89.66,0.5,2.72,7.36,True
3.48,-13.26,95,9.16,-4.84,17.85,16.22,-76.98,-778.72,20,11.1,69.66,5.95,-2.29,,False
-8.4,-25.08,19,14.46,-8.2,4.02,10.15,-30.98,-414.72,2,-9.09,101.66,0.58,4.38,,True
-9.69,-26.16,5,12.18,-8.82,2.1,10.29,-30.98,-428.72,2,-0.9,127.66,0.6,4.27,7.76,True
-11.73,-30.09,26,14.42,-7.5,3.57,10.5,-30.98,-420.72,2,0.54,81.66,0.25,3.09,,True
5.19,-9.06,15,9.38,-3.49,18.45,15.97,-56.98,-788.72,20,14.55,209.66,10,-3.35,6.55,True
-2.79,-12.06,85,8.98,-4.72,18.9,16.07,-76.98,-708.72,20,13.47,29.66,7.95,-2.37,5.7,False
-11.64,-23.73,65,12.84,-9.64,3.18,10.2,-30.98,-440.72,2,-0.06,113.66,0.65,1.7,,True
7.32,-10.47,315,14.3,-2.3,20.55,18.07,-46.98,-498.72,20,15.09,89.66,5.15,-3.31,6.08,False
-16.05,-26.25,7,13,-9,5.28,10.1,-26.98,-460.72,2,-5.61,109.66,0.27,1.26,,False
-11.25,-32.22,12,13.36,-9.95,4.59,9.85,-34.98,-486.72,2,-5.49,95.66,0.59,2.17,5.09,False
-7.86,-29.52,13,15.96,-7.45,4.23,10.16,-30.98,-408.72,2,-1.38,97.66,0.28,4.79,6.88,True
4.41,-8.1,185,18.96,-3.15,15.75,16.92,-36.98,-508.72,20,14.34,189.66,9.3,-2.41,5.75,True
4.98,-10.65,325,14.24,-2.83,21.15,17.67,-56.98,-768.72,20,12.27,59.66,5.35,-2.87,4.72,False
-7.08,-18,135,8.26,-4.67,24.75,15.12,-76.98,-678.72,20,6.39,-90.34,8.75,-2.82,,False
3.99,-16.5,25,11.32,-4.7,24.3,16.37,-76.98,-658.72,20,11.52,39.66,5.45,1.08,,False
3.06,-13.08,230,14.72,-3.59,41.25,15.72,-36.98,-658.72,20,13.44,259.66,8.7,-3.53,,False
-8.13,-24.27,9,12.46,-8.76,3.69,10.29,-26.98,-458.72,2,-10.53,117.66,0.07,2.4,5.27,False
-0.54,-15.9,310,12.4,-4.86,30.6,14.67,-56.98,-788.72,20,9.3,219.66,7.05,-0.52,4.84,False
6.63,-13.38,295,12.12,-2.7,31.5,16.57,-56.98,-458.72,20,12.57,29.66,6.7,0.08,,True
-1.38,-17.64,80,14.34,-3.04,23.25,15.27,-76.98,-608.72,20,11.34,39.66,8.2,-1.11,,False
-9.48,-24.3,0,12.18,-7.32,5.13,10.51,-24.98,-492.72,2,-14.16,127.66,0.3,1.63,5.51,False
0.9,-14.73,195,14.6,-3,31.2,17.37,-36.98,-578.72,20,11.43,169.66,6.45,-3.47,6.07,True
3.03,-13.44,65,9.84,-3.73,25.5,15.02,-56.98,-768.72,20,11.46,249.66,8.15,-1.76,,False
6.96,-13.95,60,16.46,-2.68,16.05,17.32,-36.98,-698.72,20,14.55,269.66,7.2,-3.07,5.2,False
-1.14,-12.24,310,16.38,-3.04,44.4,17.97,-36.98,-668.72,20,14.49,209.66,5.15,1.82,,False
-11.34,-28.08,7,14.76,-8.94,2.91,10.3,-34.98,-464.72,2,-0.15,97.66,0.53,1.72,,True
-11.49,-36.51,32,11.94,-7.96,4.17,10.03,-30.98,-454.72,2,0.03,137.66,0.94,2.46,,True
-11.73,-26.25,58,11.2,-8.21,5.52,9.94,-34.98,-496.72,0,-3.75,75.66,0.82,2.8,6.21,False
6.39,-10.5,320,11.22,-3.87,27.9,15.47,-56.98,-528.72,20,12.06,69.66,8.35,1.62,,False
-10.89,-26.25,22,11.9,-8.97,6.03,10.34,-34.98,-496.72,2,-0.3,69.66,0.82,1.92,5.85,True
-1.86,-13.68,60,10.36,-5.05,28.95,14.62,-76.98,-698.72,20,4.05,-30.34,6.9,-1.89,4.27,False
2.79,-15.39,20,8.48,-4.46,17.25,16.17,-56.98,-718.72,20,12.54,-20.34,6.3,-2.92,5.76,False
-5.94,-9.39,15,11.16,-6.98,24.6,15.52,-36.98,-688.72,20,12.69,239.66,9.75,-3.05,,True
6.6,-24.84,50,8.86,-2.55,17.25,16.82,-56.98,-568.72,20,11.31,-20.34,6.4,-2.92,6.59,True
-8.94,-23.91,24,11.24,-8.37,5.46,9.8,-30.98,-418.72,2,-4.59,95.66,0.99,1.89,,True
0.54,-14.55,25,9.38,-5.06,27.9,14.77,-76.98,-638.72,20,9,69.66,5.5,-1.74,,False
-1.29,-12.84,300,9.76,-3.44,22.5,15.82,-56.98,-538.72,20,13.71,-60.34,7.75,-3.13,6.4,True
-9.39,-31.89,20,11.64,-8.6,3.12,10.03,-30.98,-426.72,2,-1.92,69.66,0.34,3.73,5.12,False
-9.54,-25.62,8,11.82,-8.58,4.86,9.5,-30.98,-466.72,2,-3.63,131.66,0.85,1.59,,False
-20.55,-29.46,16,15.34,-7.6,2.55,10.04,-30.98,-420.72,2,-12.57,91.66,0.33,3.64,,False
-14.67,-24.57,24,12.2,-7.69,4.26,9.83,-30.98,-448.72,2,-7.26,97.66,0.32,4.58,,False
-0.27,-23.61,150,9.94,-4.13,17.55,15.12,-56.98,-648.72,20,5.82,9.66,5.25,-1.42,,False
8.28,-11.94,340,13.98,-1.6,25.2,18.22,-36.98,-468.72,20,12.36,229.66,9.8,-3.96,7.66,True
5.85,-13.5,290,10.1,-3.58,47.1,18.57,-56.98,-828.72,20,12.51,219.66,5.05,-2.23,6.93,True
-13.71,-26.91,4,13.88,-9.12,6.12,9.73,-30.98,-414.72,2,0.33,101.66,0.89,1.29,,True
-20.94,-26.94,39,11.46,-8.09,5.52,9.98,-30.98,-476.72,2,-2.49,79.66,0.18,1.65,5.27,False
-10.38,-24.78,46,17.16,-8.31,5.64,9.59,-34.98,-452.72,2,-0.72,97.66,0.91,1.93,5.08,False
-19.41,-24.78,56,11.68,-8.28,5.67,10.12,-30.98,-422.72,2,-3.42,93.66,0.5,1.58,,False
2.22,-12.12,100,9.86,-5.03,23.4,14.62,-76.98,-478.72,20,13.11,39.66,7.45,-2.99,,False
-8.79,-24.75,50,16.08,-9.19,3.06,10.18,-30.98,-422.72,2,-2.37,67.66,0.24,2.6,5.24,False
1.53,-12.33,360,12.46,-3.28,27,14.82,-56.98,-478.72,20,-3.78,79.66,8.7,-1.09,,False
-8.01,-25.83,9,11.94,-7.77,3.69,10.03,-30.98,-424.72,2,-3.42,91.66,0.49,1.3,,False
-8.91,-25.77,26,14.14,-8.28,4.02,10.17,-30.98,-462.72,2,-0.48,79.66,0.05,1.31,4.98,False
-15.39,-26.49,6,12.18,-10.06,0.96,10.37,-30.98,-488.72,2,-3.06,107.66,0.57,1.46,5.8,False
0.9,-13.38,240,11.46,-4.6,34.5,15.42,-36.98,-638.72,20,5.46,209.66,5.65,-2.33,,False
-10.05,-24.9,46,14.6,-8.05,4.92,10.27,-34.98,-466.72,2,-2.82,97.66,0.43,2.68,,False
-7.89,-41.43,15,14.46,-7.64,1.74,9.98,-34.98,-418.72,2,-0.45,65.66,0.39,2.71,6.94,True
1.65,-13.23,215,13.04,-6.28,34.2,14.77,-56.98,-848.72,20,11.43,99.66,8.6,0.56,,False
4.14,-12.24,230,9.84,-3.29,43.05,15.92,-56.98,-588.72,20,10.86,-10.34,6.8,-3.09,,False
-1.8,-14.61,255,14.96,-6.3,15.15,15.02,-36.98,-758.72,20,6.24,129.66,7.35,0.45,3.56,False
5.16,-10.47,275,13.56,-3.36,31.5,18.47,-36.98,-858.72,20,12.03,159.66,6.7,-2.16,,False
-3.06,-17.37,270,15.38,-2.93,27.75,17.02,-56.98,-798.72,20,13.17,-30.34,6.3,1.68,5.12,False
-16.05,-26.31,26,12.76,-8.56,3.36,9.91,-34.98,-436.72,0,-0.06,77.66,0.69,2.25,,True
-8.07,-31.53,3,10.86,-7.85,4.05,10.39,-34.98,-472.72,2,-1.44,67.66,0.87,2.42,,True
1.74,-12.45,225,11.44,-4.5,42.45,16.92,-56.98,-698.72,20,9.69,59.66,6.55,-1.83,5.66,True
3.9,-10.95,125,13.36,-2.44,20.55,17.57,-56.98,-648.72,20,11.07,239.66,7.65,2.08,6.37,True
-8.25,-26.79,29,11.72,-7.99,2.13,9.82,-30.98,-468.72,2,-2.4,69.66,0.95,1.9,,False
-10.29,-30.24,5,13.58,-8.79,0.75,9.82,-34.98,-460.72,2,-2.43,93.66,0.8,1.53,5.28,False
-9.93,-27.03,35,14.98,-7.29,3.96,9.89,-30.98,-406.72,2,0.66,131.66,0.9,2.59,5.81,True
-10.44,-23.85,22,10.76,-8.03,4.83,9.95,-34.98,-440.72,2,-0.57,71.66,0.43,1.4,,True
3.78,-20.37,65,15.42,-8.18,24.45,16.02,-76.98,-708.72,20,12.48,49.66,6.25,-2.72,4.1,False
1.77,-8.88,180,12.28,-2.76,34.35,17.12,-36.98,-588.72,20,8.55,269.66,6.45,-2.36,,True
4.2,-10.5,70,13.68,-3.44,21.6,15.82,-36.98,-518.72,20,9.9,199.66,6.8,-2.8,,False
-10.83,-27.42,35,15.7,-7.88,1.65,10.23,-34.98,-420.72,2,-1.68,89.66,0.02,1.29,5.16,False
-10.44,-24.93,53,12.38,-7.42,5.76,10.08,-34.98,-508.72,2,-2.49,93.66,0.5,1.28,,False
1.26,-25.71,95,10.76,-4.39,18.9,15.77,-56.98,-858.72,20,9.36,229.66,5.95,0.58,,False
7.05,-9.09,330,9.86,-3,40.35,17.47,-56.98,-648.72,20,14.73,99.66,6.95,-1.46,,True
-12.81,-24.21,70,11.74,-9.02,5.49,10.48,-34.98,-442.72,2,-0.3,81.66,0.03,1.87,4.84,False
-8.34,-24.36,19,17.48,-7.99,4.23,9.93,-30.98,-436.72,2,-0.63,91.66,1.02,2.2,,True
-1.41,-20.1,200,8.52,-7.98,33.45,14.32,-76.98,-698.72,20,8.55,79.66,6.65,-0.89,,False
-11.4,-27.81,15,13.22,-7.39,1.8,10.21,-30.98,-422.72,2,-1.35,63.66,0.48,3.49,7.19,True
0.69,-19.53,255,13.78,-5.46,19.65,15.72,-36.98,-808.72,20,6.75,169.66,5.25,-1.85,4.13,False
-3.63,-13.74,360,12.88,-5.44,18.75,17.12,-56.98,-868.72,20,5.37,139.66,5.45,-2.49,,False
0.99,-20.49,330,12.38,-4.82,38.25,16.07,-56.98,-808.72,20,-8.64,269.66,6.3,-2.58,5.08,False
4.02,-9.03,25,9.96,-3.97,19.5,17.67,-36.98,-788.72,20,12.69,99.66,7.8,-3.37,,True
6.57,-9.12,375,15.14,-2.53,30.9,16.87,-56.98,-498.72,20,10.26,229.66,7.45,-2.92,4.53,False
-8.76,-24.36,1,11.46,-8.93,0.09,10.26,-32.98,-474.72,2,-1.56,99.66,0.3,1.96,4.95,False
5.82,-11.04,285,9.64,-3.63,16.95,14.52,-76.98,-518.72,20,12.63,-50.34,9.2,-2.39,,True
-1.59,-15.03,35,11.2,-6.75,19.65,16.62,-56.98,-848.72,20,9.27,229.66,5.65,-2.34,4.91,False
0.33,-14.37,220,9.28,-4.14,34.8,14.27,-76.98,-568.72,20,2.31,29.66,7.3,-2.22,,False
4.62,-12.09,175,9.78,-2.72,34.8,15.92,-56.98,-678.72,20,9.93,219.66,7.9,-2.27,,True
-13.65,-23.91,4,12.88,-9.58,4.11,10.19,-30.98,-424.72,2,0.84,121.66,0.55,2.27,,True
0.03,-20.37,160,10.92,-7.08,30.45,16.47,-56.98,-858.72,20,4.56,219.66,7,-1.93,,False
-4.53,-10.44,230,12.42,-3.93,25.8,15.82,-56.98,-598.72,20,4.98,-90.34,7.2,-2.97,,True
-13.17,-24.42,5,13.84,-8.79,1.89,9.81,-30.98,-408.72,2,-0.33,121.66,0.76,1.19,,False
3.84,-12.57,180,11.16,-4.8,21.15,14.87,-46.98,-408.72,20,8.97,89.66,5.9,-1.71,,False
-1.23,-23.4,165,9.96,-5.39,33.9,15.12,-56.98,-788.72,20,6.51,-60.34,5.1,0.1,3.69,False
0.03,-19.23,85,13.62,-6.32,38.4,15.52,-36.98,-448.72,20,12.75,159.66,5.05,-2.87,4.68,False
-14.76,-27.12,3,13.38,-8.91,3.78,9.69,-30.98,-430.72,2,-2.19,69.66,0.02,3.68,4.98,False
-0.66,-10.2,225,11.6,-2,19.2,17.17,-56.98,-438.72,20,5.46,109.66,7.45,-3.24,,True
-11.04,-10.68,45,11.44,-3.04,22.05,15.87,-36.98,-748.72,20,12.84,269.66,7.8,1.22,4.17,False
-12.15,-12.24,350,11.4,-4.64,38.85,15.22,-76.98,-488.72,20,6.87,-0.34,5.35,-2.58,,False
-7.92,-27.54,8,10.92,-8.25,4.08,10.45,-30.98,-488.72,2,-7.56,73.66,0.51,2.45,6.06,True
-18.78,-25.02,5,13.28,-10.37,4.38,10.34,-30.98,-462.72,2,0.09,121.66,0.93,1.19,,True
0.48,-13.32,85,11.6,-3.96,19.05,15.42,-36.98,-688.72,20,9.75,189.66,5.8,-2.25,5.31,False
-11.61,-25.89,3,14.42,-7.19,1.32,10,-26.98,-426.72,2,0.45,125.66,0.75,2.28,6.29,True
0.57,-14.88,10,14.3,-4.68,29.1,15.47,-56.98,-798.72,20,6.72,299.66,5.85,-2.02,,False
-11.04,-24.78,16,12.28,-7.48,5.46,10.1,-30.98,-456.72,2,0.42,93.66,0.58,1.62,,True
-7.92,-27.09,9,11.7,-7.82,1.2,10.45,-30.98,-478.72,2,-0.84,105.66,0.26,2.33,5.94,False
-8.01,-23.79,2,12.04,-11.65,0.18,10.28,-26.98,-436.72,0,-0.36,119.66,0.22,1.42,,True
-9.54,-23.82,8,11.02,-8.11,5.1,9.82,-30.98,-476.72,2,-0.12,67.66,0.95,1.81,,True
2.04,-12.48,365,15.44,-4.16,23.4,16.57,-56.98,-768.72,20,6.81,-60.34,5.35,-1.77,3.75,False
1.71,-15.39,60,12.66,-5.94,23.25,14.72,-76.98,-678.72,20,8.67,-50.34,6.7,-2.22,5.39,False
-8.52,-23.97,5,13.84,-8.15,0.66,10.07,-30.98,-450.72,2,-3.33,131.66,0.79,1.1,,True
6.3,-9.12,360,12.1,-3.42,29.25,16.97,-56.98,-468.72,20,13.77,-40.34,5.85,-2.83,,True
7.92,-7.62,125,13.76,-2.09,16.2,19.37,-36.98,-638.72,20,15.81,269.66,6.4,-4.14,6.29,True
-12.36,-26.04,7,12.44,-9.84,5.07,9.65,-34.98,-484.72,2,-6,67.66,0.94,2.33,7.17,True
6.6,-12,5,11.74,-2.96,17.55,15.82,-26.98,-478.72,20,13.71,289.66,9.05,-2.28,,True
-21.75,-27.63,2,12.72,-7.36,0.57,10.39,-30.98,-442.72,2,-0.66,103.66,0.43,1.26,,True
-8.25,-24.66,29,14.42,-7.83,2.97,10.33,-30.98,-440.72,2,0.27,75.66,0.84,1.08,,True
-9.99,-27.99,23,12.98,-7.54,5.16,9.54,-34.98,-456.72,2,-6.6,71.66,0.83,1.78,,True
-11.43,-24,18,13.88,-7.98,1.92,10.07,-26.98,-436.72,2,0.81,113.66,0.67,2.82,,True
3.72,-11.7,295,11,-3.56,41.1,14.82,-56.98,-588.72,20,12.39,169.66,8.1,-1.69,4.44,False
6.51,-16.11,210,9.8,-2.47,38.7,15.72,-56.98,-558.72,20,14.58,249.66,8.85,-2.5,7.5,True
1.89,-12.24,130,16.78,-3.23,15.9,16.57,-56.98,-748.72,20,12.51,249.66,6.3,-2.89,3.31,False
-10.65,-26.91,18,11.94,-8.45,2.01,9.96,-34.98,-476.72,2,-1.47,81.66,0.51,1.64,5.23,False
-2.61,-16.95,165,8.9,-6.46,22.35,14.32,-56.98,-788.72,20,-0.3,-40.34,7.1,-1.64,4.19,False
-1.95,-15.93,200,13.78,-4.98,19.05,14.12,-76.98,-808.72,20,8.58,-70.34,7.65,-0.98,4.43,False
-8.1,-25.56,52,14.52,-7.59,4.56,10.21,-30.98,-432.72,0,0.45,71.66,0.16,3.84,,True
-8.07,-33.84,68,12.18,-7.7,5.22,9.93,-34.98,-442.72,2,-1.68,81.66,0.39,1.38,5.6,False
-7.5,-30.63,6,14.68,-8.02,6.03,10.49,-30.98,-448.72,2,-1.95,87.66,0.36,1.44,,True
-9.93,-24.24,17,12.02,-8.12,4.59,10.3,-30.98,-428.72,2,0.87,65.66,0.91,1.43,,True
-8.82,-24.27,3,11.18,-8.34,1.2,9.72,-34.98,-430.72,2,-0.03,73.66,0.86,2.91,,True
5.34,-11.7,155,12.34,-4.65,28.35,14.57,-36.98,-558.72,20,12.84,269.66,9.1,-3.31,5.16,False
-5.73,-15.72,115,11.08,-4.6,23.4,14.77,-56.98,-748.72,20,6.45,39.66,6.7,-0.86,,False
7.56,-17.61,275,13.58,-2.93,34.2,17.07,-36.98,-688.72,20,15.81,119.66,8.8,-1.9,6.39,True
1.35,-23.4,10,14.46,-4.34,34.5,15.72,-56.98,-828.72,20,9.45,109.66,5.7,-0.12,4.31,False
2.55,-17.52,210,13.3,-5.59,23.7,15.02,-56.98,-588.72,20,11.07,289.66,5.85,-1.13,,False
-15.12,-23.7,5,13.06,-7.62,3.36,10.23,-30.98,-424.72,2,0.27,79.66,0.71,1.9,,True
-9.27,-24.96,16,11.66,-10.3,6.33,9.63,-26.98,-478.72,2,-2.22,119.66,0.77,1.94,,False
-4.26,-14.82,55,9.92,-3.5,39.45,14.87,-36.98,-438.72,20,7.05,109.66,6.85,-1.09,4.53,False
2.37,-19.02,15,9.5,-5.59,26.7,16.77,-36.98,-758.72,20,13.89,229.66,6.6,-3.08,,False
-7.71,-27.3,34,14.38,-7.91,0.75,10.41,-34.98,-408.72,2,-2.52,87.66,0.01,1.55,,True
-8.61,-24.36,9,15.54,-9.81,4.38,9.97,-30.98,-480.72,2,-6.45,79.66,0.61,7.22,5.81,False
-2.85,-23.58,325,15.24,-3.3,26.4,15.07,-56.98,-598.72,20,9.51,129.66,7.1,-2.42,4.61,False
-12.72,-24.9,8,13.88,-8.08,4.62,9.97,-30.98,-442.72,2,-0.27,133.66,0.21,3.88,,False
3.27,-20.85,125,8.96,-2.45,15.45,17.67,-56.98,-518.72,20,14.1,-20.34,6.1,-3.61,,True
-10.44,-34.68,28,10.84,-9.2,5.49,9.92,-34.98,-416.72,2,-0.03,69.66,0.82,1.18,,True
-10.47,-27.99,38,12.18,-8.1,4.29,9.77,-30.98,-428.72,2,-1.14,73.66,0.64,3.54,5.68,False
-11.01,-31.47,38,11.4,-8.43,3.9,9.83,-30.98,-424.72,2,-0.03,77.66,0.62,2.31,5.39,False
-9.75,-42.48,48,12.06,-8.95,0.78,10.41,-30.98,-450.72,2,-1.98,61.66,0.7,1.09,7.32,True
-14.94,-26.13,57,13.36,-7.39,5.82,10.38,-34.98,-490.72,2,-3.45,79.66,0.03,2.74,5.84,False
4.62,-7.23,265,14.78,-2.71,19.05,17.97,-36.98,-568.72,20,12.27,229.66,10.05,-1.72,,True
1.2,-13.29,250,10.46,-4.05,41.25,15.22,-56.98,-578.72,20,2.88,9.66,5.55,-2.23,5.9,False
-8.73,-28.47,13,12.48,-10.08,6.09,10.41,-26.98,-464.72,2,-1.5,107.66,1,1.1,6.07,True
-9.24,-26.61,5,12.68,-8.11,4.23,10.14,-34.98,-438.72,2,0.48,69.66,0.86,1.5,6.36,True
-10.14,-23.94,4,11.5,-7.83,4.56,9.77,-30.98,-478.72,2,-4.41,129.66,0.83,2.78,6.05,False
-9.96,-26.79,10,11.74,-8.32,2.04,9.78,-30.98,-462.72,2,-0.24,75.66,0.72,1.26,,False
0.3,-14.19,120,12.26,-4.16,26.55,15.07,-76.98,-688.72,20,9.24,49.66,5.75,-1.13,,False
-0.21,-11.85,280,10.16,-3.7,31.35,16.27,-76.98,-538.72,20,10.23,69.66,7.95,-3.13,7.03,True
1.62,-11.52,285,13.2,-3.3,18.9,17.02,-36.98,-638.72,20,13.44,149.66,5.35,-3.03,,False
-1.41,-12.18,140,9.86,-2.68,24,18.47,-56.98,-838.72,20,10.11,129.66,5.15,-3.29,5.47,True
2.37,-13.98,50,14.74,-7.58,30.45,15.57,-36.98,-798.72,20,10.44,239.66,7.25,-2.31,,False
-7.98,-28.38,13,14.06,-10.11,3.72,9.77,-26.98,-422.72,2,-2.91,117.66,0.71,2.31,,False
2.49,-15.9,85,8.82,-4.52,44.25,15.82,-56.98,-648.72,20,6.42,129.66,5.1,-0.16,,False
-4.65,-15.75,345,10.86,-3.68,19.35,15.22,-76.98,-538.72,20,9.33,-90.34,8.1,-2.46,,True
4.65,-11.55,35,9.7,-5.05,26.1,15.62,-56.98,-728.72,20,8.97,19.66,7.75,-1.85,4.61,False
-10.98,-23.4,66,12.1,-11.18,3.15,10.4,-34.98,-424.72,2,0.9,79.66,0.29,1.42,5.85,True
5.49,-10.56,100,11.88,-3.52,20.85,15.47,-56.98,-438.72,20,12.18,279.66,9.35,-1.27,,True
8.04,-15.45,350,15.64,-3.14,25.65,18.17,-56.98,-608.72,20,17.04,109.66,9,-4.36,6.67,True
3.33,-13.86,50,8.52,-3.71,29.55,15.62,-56.98,-778.72,20,8.97,169.66,8.6,-0.61,,True
-9.51,-27.45,12,12.04,-7.4,2.43,10.13,-34.98,-414.72,2,-5.37,63.66,0.32,1.75,7.33,True
-3.45,-10.11,310,10.28,-3.36,34.65,15.72,-56.98,-718.72,20,11.97,129.66,9.3,-2.13,,True
3.12,-22.44,150,10.96,-7.21,16.65,15.07,-56.98,-728.72,20,13.14,159.66,8.95,-2.07,4.97,False
-8.1,-25.74,26,15.88,-7.23,1.17,10.27,-30.98,-456.72,2,0.96,107.66,0.85,2.11,5.94,True
-12.75,-25.77,32,12.34,-7.87,5.7,9.67,-30.98,-430.72,2,-2.04,133.66,0.69,1.8,,False
3.9,-10.74,370,12.58,-3.28,21.15,15.42,-56.98,-718.72,20,9.96,69.66,9.85,-2.32,,False
6.51,-8.94,115,15.62,-2.08,15.6,17.82,-36.98,-848.72,20,14.88,229.66,9.4,-3.5,6.03,True
3.24,-16.83,380,11.12,-3.74,19.5,16.97,-76.98,-788.72,20,14.94,-50.34,9.85,-3.36,6.91,True
-0.75,-19.14,125,13.52,-4.44,24.75,15.27,-36.98,-688.72,20,-5.22,229.66,5.45,-2.03,,False
-7.41,-18.93,330,12.06,-6.1,17.85,14.82,-56.98,-868.72,20,4.38,69.66,5.25,0.4,3.78,False
3.45,-10.14,350,15.9,-3.56,19.5,16.37,-36.98,-528.72,20,9.51,239.66,6.05,-2.68,5.2,False
-12.42,-25.74,7,12.16,-9.62,1.59,9.87,-30.98,-436.72,2,-3.69,95.66,1.02,1.69,,False
-3.48,-12.6,100,9.06,-5.05,40.8,15.72,-56.98,-638.72,20,12.21,229.66,6.3,-2.9,4.65,False
5.34,-11.46,370,13.58,-5.63,19.05,14.97,-36.98,-398.72,20,10.68,259.66,9.8,-2.89,,False
4.65,-21.48,280,12,-5.48,27,15.27,-56.98,-408.72,20,10.11,49.66,5.75,-2.56,4.89,False
-2.64,-13.71,5,10.2,-5.51,15.6,16.12,-46.98,-818.72,20,0.75,119.66,5.4,1.94,,False
-7.74,-32.1,17,12.58,-7.5,3.84,10.19,-30.98,-478.72,2,0.69,85.66,0.7,1.49,5.51,False
6.69,-9.15,375,11.96,-2.34,16.8,18.82,-56.98,-768.72,20,9.96,-30.34,5.4,-3.69,,False
0.72,-14.07,120,9.94,-2.82,26.4,15.62,-56.98,-588.72,20,12.93,-10.34,8.05,-2.92,,True
-1.74,-11.28,120,12.06,-3.18,21.75,16.37,-56.98,-588.72,20,12.42,-0.34,5.9,-0.77,6.19,True
